10.675 41.283 M31_NGC_224
 23.450  30.667  M33_NGC_598
 80.900 -69.750  LMC
 5.075  59.300  IC_10
296.225 -14.867  NGC_6822_DDO_209
 10.675  40.867  M32_NGC_221
 10.100  41.683  NGC_205
 13.175 -72.833  SMC
150.775 -26.167  NGC_3109_DDO_236
 9.750  40.333  NGC_185
 16.200  2.117  IC_1613_DDO_8
 8.300  48.500  NGC_147_DDO_3
152.750  -4.683  Sextans_A_DDO_75
150.000  5.333  Sextans_B_DDO_70
 0.500 -15.467  WLM_DDO_221
283.750 -30.483  Sagittarius
# 40.000 -34.450  Fornax
352.150  14.733  Pegasus_DDO_216
351.625  50.700  And_VII_Cas_Dw
152.125  12.300  Leo_I_DDO_74
149.875  30.750  Leo_A_DDO_69
 19.125  33.417  And_II
 11.425  38.033  And_I
357.950  24.583  And_VI_Peg_Dw
292.500 -17.700  SagDIG
311.725 -12.850  Aquarius_DDO_210
151.025 -27.333  Antlia
 15.050 -33.717  Sculptor
 8.900  36.500  And_III
168.375  22.150  Leo_II_DDO_93
 6.550 -11.050  Cetus
153.250  -1.600  Sextans
 27.775 -44.450  Phoenix
 15.975  21.883  LGS_3
340.450 -64.417  Tucana
100.400 -50.967  Carina
 17.575  47.633  And_V
227.300  67.217  Ursa_Minor_DDO_199
260.050  57.917  Draco_DDO_228
 13.225  43.200  And_IX
 34.821  20.175  Segue_2
119.57   26.255	 Koposov_2
132.875  63.13	 UMa_II
143.723  17.0514 Leo_T
151.767  16.082	 Segue_1
158.72   51.92   UMa_I
162.343  51.051  Willman_1
172.79    2.22   Leo_V
173.237  -0.533  Leo_IV
179.577  12.26   Koposov_1
186.746  23.904  Com
194.292  34.321  CVn_II
202.015  33.556  CVn_I
209.50   12.85   Boo_II
210.025  14.5    Boo_I
247.758  12.792  Her
320.379  19.117 Segue_3
344.629  5.953  Pisces_II
332.680  14.950  Balbinot_1
332.922  7.026  Kim_1
317.208  -51.164  Kim_2
336.094  5.420  Pegasus_III
53.926  -54.049  Reticulum_2
56.088  -43.533  Eridanus_2
43.882  -54.119  Horologium_1
49.1338  50.0181 Horologium_2
70.948  -50.283  Pictoris_1
354.998  -54.406  Phoenix_2
344.177  -50.163  Grus_1
35.690  -52.284  Eridanus_3
342.966  -58.568  Tucana_2
8.499  -49.039  Luque_1
331.020  -46.440 Grus_II
359.150  -59.600  Tucana_III
82.860  -28.030  Columba_I
0.730  -60.850  Tucana_IV
56.360  -60.450  Reticulum_III
354.350  -63.270 Tucana_V
185.425  -31.985  Hydra_II
298.167  -22.0681  Sag_II
316.726  14.980  Leavens_3
238.198  64.565  Draco_II
33.323  36.178  Tri_II
174.068 -10.877  Leavens_1
344.568  41.291  Lac_I
8.998  51.560  Cas_III
